"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"20";"";"LEDCHIP-LED0805";"CHIP-LED0805";"+5V, +24V, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18";"LED";"MULTICOMP";"OVS-0803";"1716765";"";"";"";
"6";"";"PINHD-1X4";"1X04";"HOTEND1, HOTEND2, HOTEND3, HOTEND4, HOTEND5, HOTEND6";"PIN HEADER";"";"";"unknown";"";"";"";
"6";"100";"R-US_R0805";"R0805";"R2, R6, R10, R14, R18, R22";"RESISTOR, American symbol";"PANASONIC ELECTRONIC COMPONENTS";"ERA6AEB101V";"1577644";"";"";"";
"16";"100n";"C-USC0805K";"C0805K";"C1, C2, C3, C4, C5, C6, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19";"CAPACITOR, American symbol";"AVX";"08051C104KAT2A";"1740681";"";"";"";
"7";"10k";"R-US_R0805";"R0805";"R3, R7, R11, R15, R19, R23, R26";"RESISTOR, American symbol";"BOURNS";"0621-013K500-AB103";"2469474";"";"";"";
"1";"1k";"R-US_R0805";"R0805";"R27";"RESISTOR, American symbol";"BOURNS";"CR0805-JW-102ELF";"2008389";"";"";"";
"1";"20MHz";"CRYSTALHC49US";"HC49US";"Y1";"Various standard crystals. Proven footprints.";"TXC";"9B-20.000MAAJ-B";"1842224";"";"";"";
"2";"22p";"C-USC0805K";"C0805K";"C7, C8";"CAPACITOR, American symbol";"AVX";"08051A220JAT2A";"317500";"";"";"";
"1";"330n";"C-USC0805K";"C0805K";"C14";"CAPACITOR, American symbol";"AVX";"08055C334KAT2A";"1657934";"";"";"";
"6";"4k7";"R-US_R0805";"R0805";"R4, R8, R12, R16, R20, R24";"RESISTOR, American symbol";"TE CONNECTIVITY";"1-2176085-7";"2118118";"";"";"";
"7";"5k6";"R-US_R0805";"R0805";"R1, R5, R9, R13, R17, R21, R25";"RESISTOR, American symbol";"MULTICOMP";"MCWR08X5601FTL";"2447693";"";"";"";
"2";"74LS595D";"74LS595D";"SO16";"IC1, IC2";"8-bit SHIFT REGISTER, output latch";"TEXAS INSTRUMENTS";"SN74HC165DR";"2436975";"";"IC-07875";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"";"ATMEL";"ATMEGA328-AU";"1972086";"";"IC-09069";"ATMEGA328P_TQFP";
"1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"ICSP";"AVR ISP 6 Pin";"";"";"unknown";"";"";"";
"3";"CTS742C083";"CTS742C083";"CTS742C083";"RN1, RN2, RN3";"Chip Resistor Array 4 Single Resistor";"";"";"unknown";"unknown";"";"";
"1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"JP8";"FTDI Basic header with labels";"";"";"unknown";"";"";"";
"1";"KA7805ERTF";"V_REG_78XX7812";"TO-252";"U2";"Voltage Regulator";"FAIRCHILD SEMICONDUCTOR";"KA7805ERTF";"2102585";"";"VREG-12370";"+12v";
"7";"MBRA140";"MBRA140";"SMA-DIODE";"D1, D2, D3, D4, D5, D6, D7";"40V, 1A Schottky rectifier";"DIODES INC.";"B140-13-F";"1843670";"";"DIO-08053";"";
"6";"MOSFET-N";"MOSFET-N";"SOIC8";"Q1, Q2, Q3, Q4, Q5, Q6";"CJ2302:SMD MOSFET N-CH 20V-2.1A";"INTERNATIONAL RECTIFIER";"IRF8736PBF";"1551903";"";"";"";
"1";"POWER INPUT";"POWER_CONNECTOR_4WAY";"MOLEX_MINIFIT-JR";"PC1";"MOLEX Mini-Fit Jr. 13A/600V Power connector REF: 39303045";"MOLEX";"39303045";"9963553";"";"";"";
"1";"PTCSMD-W";"PTCSMD-W";"PTC-1206-WIDE";"F1";"Resettable Fuse PTC";"SCHURTER";"3413.0329.22";"1829472";"";"";"";
"1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"RESET";"SMT 6mm switch, EVQQ2 series";"PANASONIC ELECTRONIC COMPONENTS";"EVQQ2503W";"9962913";"";"";"";
